wnver::2.1
1740n 1934812 ROOT
128116n 1
128289n 40
128431n 2
128534n 370
128791n 1
128929n 3
129052n 8
129235n 2
129321n 1
129435n 2
129549n 1
129663n 2
129799n 35
129941n 2
130045n 200
130200n 80
130426n 9
130604n 1
130678n 7
130782n 47
131011n 2
131112n 10
131319n 1
131425n 2
131543n 3
131690n 1
131835n 1
131916n 1
132018n 30
132224n 81
132567n 81
132730n 9
132923n 52
133056n 1
133218n 9
133371n 3
133467n 2
133571n 1
133649n 3
133748n 69
134110n 1
134295n 1
134403n 1
134698n 6
134953n 2
135128n 1
135296n 1
135497n 22
135640n 31
135860n 2
136018n 7
136153n 1
136218n 1
136375n 124
136963n 1
137177n 1
137338n 38
137531n 3
137683n 1
137812n 15
138071n 46
138319n 3
138446n 2
138595n 6
138815n 7
139088n 1
139225n 99
139559n 1
139780n 136
140066n 188
140316n 1
140510n 64
140795n 1
140885n 1
141022n 1
141144n 2
141441n 1
141704n 1
141891n 43
142037n 7
142283n 5
142477n 559
143038n 144
143188n 1
143370n 27
143536n 11
143702n 1
143831n 182
144115n 181
144350n 1
144446n 38
144573n 3
144713n 8
144854n 42
145121n 5
145316n 7
145501n 2
145705n 1
145912n 3
146021n 2
146095n 3
146237n 4
146343n 10
146521n 3
146767n 6
146958n 2
147154n 1
147356n 10
147487n 1
147638n 1
147850n 25
148021n 15
148191n 27
148418n 1
148513n 8
148601n 698
148937n 3
149041n 125
149253n 1
149361n 2
149542n 1
149750n 74
150013n 1
150128n 55
150308n 4
150519n 1
150685n 53
150829n 75
150981n 244
151253n 6
151453n 188
151709n 1
151914n 3
152105n 1
152318n 2
152507n 112
152817n 1
152990n 1
153139n 1
153313n 1
153410n 31
153645n 2
153832n 15
154092n 991
154329n 1
154474n 31
154698n 1
154888n 1
154968n 76
155196n 645
155454n 1
155816n 58
155997n 23
156216n 15
156440n 34
156719n 7
156893n 6
157117n 1
157235n 4
157352n 99
157508n 84
157742n 1
157864n 2
158063n 2356
158423n 5
158559n 3
158708n 26
158875n 2
159056n 1
159237n 1
159452n 1698
159867n 139
160053n 59
160226n 6
160450n 1
160599n 201
160972n 13
161165n 111
161399n 20
161621n 216
161819n 1
161998n 1
162118n 16
162383n 45
162613n 1
162762n 905
162992n 464
163175n 293
163372n 13
163522n 143
163685n 1
163883n 61
164098n 61
164266n 99
164400n 1
164584n 33
164770n 4
164941n 1
165057n 733
165325n 21
165478n 173
165713n 1
165849n 110
166066n 1
166195n 2
166355n 16
166549n 1
166716n 1
166884n 44
167080n 3
167187n 1
167254n 25
167388n 198
167594n 1
167793n 138
168051n 1
168162n 24
168426n 1
168617n 15
168761n 12
168891n 2
169034n 5
169142n 4
169254n 2196
169716n 1
169827n 58
170031n 1
170305n 139
170547n 254
170671n 2
170804n 1
170956n 534
171207n 2
171326n 1
171494n 1
171718n 2
171977n 1
172149n 8
172419n 1
172596n 1
172856n 1
172993n 2
173153n 1
173310n 1
173538n 1
173671n 31
173992n 31
174182n 1
174327n 5
174568n 3
174721n 1
175095n 8
175226n 8
175358n 5
175498n 3
175592n 1
175742n 4
