wnver::2.1
1740n 179911247 ROOT
132923n 4683
133056n 29
133218n 1715
133371n 174
133467n 7
133571n 7
133649n 91
133748n 7756
134110n 1
134295n 1
134403n 203
134698n 400
134953n 390
135128n 18
135296n 1
135497n 2941
135640n 3492
135860n 53
136018n 508
136153n 15
136218n 8
136375n 10590
136963n 3
137177n 168
137338n 2295
137531n 179
137683n 1
137812n 776
138071n 4339
138319n 138
138446n 54
138595n 2526
138815n 1629
139088n 1
139225n 15967
139559n 18
139780n 8149
140066n 15736
140316n 1
140510n 10058
140795n 1
140885n 1
141022n 2
141144n 18
141441n 1
141704n 313
141891n 3081
142037n 296
142283n 793
142477n 56446
143038n 10988
143188n 161
143370n 295
143536n 427
143702n 27
143831n 26880
144115n 26200
144350n 235
144446n 2327
144573n 355
144713n 2409
144854n 3154
145121n 320
145316n 424
145501n 38
145705n 4
145912n 389
146021n 2
146095n 236
146237n 510
146343n 398
146521n 176
146767n 219
146958n 2
147154n 5
147356n 488
147487n 1
147638n 1
147850n 2023
148021n 1156
148191n 2853
148418n 1
148513n 763
148601n 73405
148937n 69
149041n 10267
149253n 2
149361n 34
149542n 13
149750n 7556
150013n 5
150128n 5618
150308n 383
150519n 17
150685n 5578
150829n 5022
150981n 37114
151253n 412
151453n 32811
151709n 13
151914n 173
152105n 3
152318n 239
152507n 7471
152817n 48
152990n 5
153139n 156
153313n 6
153410n 2357
153645n 121
153832n 1024
154092n 98883
154329n 1
154474n 2576
154698n 9
154888n 2
154968n 7918
155196n 69574
155454n 5
155816n 5168
155997n 1982
156216n 1472
156440n 1676
156719n 132
156893n 55
157117n 66
157235n 163
157352n 6883
157508n 5987
157742n 2
157864n 57
158063n 222398
158423n 929
158559n 148
158708n 906
158875n 64
159056n 16
159237n 10
159452n 150449
159867n 10150
160053n 6171
160226n 838
160450n 23
160599n 16540
160972n 885
161165n 4258
161399n 2344
161621n 20564
161819n 1
161998n 9
162118n 1279
162383n 5816
162613n 13
162762n 75328
162992n 65918
163175n 46392
163372n 6130
163522n 21124
163685n 13
163883n 6711
164098n 6711
164266n 15837
164400n 1
164584n 3213
164770n 86
164941n 5
165057n 55797
165325n 1370
165478n 20071
165713n 73
165849n 19909
166066n 3
166195n 1
166355n 1468
166549n 1
166716n 1
166884n 4229
167080n 6
167187n 1
167254n 2423
167388n 28031
167594n 1
167793n 8710
168051n 94
168162n 2210
168426n 8
168617n 768
168761n 734
168891n 118
169034n 509
169142n 195
169254n 208401
169716n 76
169827n 4086
170031n 97
170305n 10520
170547n 32326
170671n 22
170804n 107
170956n 43190
171207n 21
171326n 15
171494n 1
171718n 10
171977n 1
172149n 27
172419n 6
172596n 1
172856n 1
172993n 16
173153n 2
173310n 1
173538n 1
173671n 792
173992n 1498
174182n 3
174327n 232
174568n 19
174721n 1
175095n 281
175226n 233
175358n 227
175498n 452
175592n 8
175742n 9
175847n 834
176043n 5054
176150n 18201
176383n 2399
176521n 9
176695n 4430
176880n 5839
177237n 1466
177429n 14068
177658n 1
177840n 15
177962n 60
178107n 1546
178248n 25007
178680n 35897
178902n 2196
179038n 8207
179190n 6
179364n 1
179551n 3
179707n 469
179824n 55
179972n 13218
180421n 60
180561n 2
180788n 80
180927n 1
181078n 1
181228n 5
181396n 55
181519n 1436
181722n 3564
181853n 4
182027n 1
182193n 188
182612n 21
182910n 105
182995n 76584
183417n 1
183505n 1
183698n 11057
183860n 120
184071n 6993
184251n 2722
184368n 7978
184544n 330
184702n 3
184810n 1
184981n 8225
185127n 135
185295n 8
185467n 2460
185618n 49
185837n 2
185926n 20969
186257n 1
186401n 1
186541n 20
186699n 1
186792n 1638
186940n 409
187144n 9264
187292n 31
187503n 3270047
188305n 459
188474n 17
188625n 6476
188782n 4
188938n 17281
189235n 277
189422n 10
189548n 4715
189775n 1156
189991n 1
190180n 5
190374n 1
190496n 105
190626n 44
190783n 9
191014n 8
191200n 150
191338n 5684
191563n 5223
191784n 6007
191938n 390
192307n 410
192453n 9673
192771n 1
192854n 12549
193217n 38
193505n 1
193598n 102
193788n 13
193979n 494
194159n 4896
194505n 15
194657n 127
194838n 16023
195018n 56
195180n 74
195306n 12271
195517n 688404
196094n 14137
196428n 543
196631n 79
196766n 161
196950n 3627
197155n 436
197445n 7729
197656n 20
197784n 4
